Date;Indice
2001-01;110.48
2001-02;110.16
2001-03;111.14
2001-04;113.51
2001-05;113.91
2001-06;113.49
2001-07;111.38
2001-08;112.74
2001-09;111.35
2001-10;112.48
2001-11;113.07
2001-12;112.45
2002-01;114.65
2002-02;111.95
2002-03;111.32
2002-04;111.01
2002-05;112.11
2002-06;105.88
2002-07;109.16
2002-08;110.42
2002-09;108.6
2002-10;107.13
2002-11;108.74
2002-12;108.13
2003-01;108.3
2003-02;108.53
2003-03;107.05
2003-04;108.86
2003-05;108.62
2003-06;108.27
2003-07;109.55
2003-08;108.92
2003-09;113.53
2003-10;109.77
2003-11;109.44
2003-12;112.93
2004-01;109.34
2004-02;107.15
2004-03;109.31
2004-04;108.43
2004-05;101.48
2004-06;106.99
2004-07;108.9
2004-08;104.31
2004-09;105.83
2004-10;104.73
2004-11;111.5
2004-12;103.88
2005-01;104.05
2005-02;107.16
2005-03;107.62
2005-04;105.01
2005-05;103.45
2005-06;104.59
2005-07;105.39
2005-08;106.4
2005-09;105.45
2005-10;106.5
2005-11;108.64
2005-12;102.56
2006-01;103.62
2006-02;104.27
2006-03;101.93
2006-04;102.53
2006-05;98.05
2006-06;103.97
2006-07;105.12
2006-08;105.86
2006-09;104.83
2006-10;105.27
2006-11;105.6
2006-12;105.67
2007-01;107.05
2007-02;106.06
2007-03;106.76
2007-04;105.61
2007-05;106.1
2007-06;106.81
2007-07;105.64
2007-08;108.19
2007-09;106.95
2007-10;112.91
2007-11;111.2
2007-12;112.46
2008-01;114.16
2008-02;111.85
2008-03;115.31
2008-04;116.72
2008-05;108.98
2008-06;108.98
2008-07;106.83
2008-08;106.56
2008-09;106.48
2008-10;105.34
2008-11;106.7
2008-12;107.04
2009-01;105.81
2009-02;104.63
2009-03;104.01
2009-04;103.57
2009-05;102.04
2009-06;99.59
2009-07;102.66
2009-08;99.87
2009-09;101.18
2009-10;101.22
2009-11;104.73
2009-12;103.49
2010-01;101.16
2010-02;103.0
2010-03;105.96
2010-04;101.42
2010-05;100.02
2010-06;102.37
2010-07;103.74
2010-08;104.03
2010-09;104.34
2010-10;104.14
2010-11;103.46
2010-12;102.52
2011-01;102.95
2011-02;103.06
2011-03;99.59
2011-04;96.04
2011-05;99.38
2011-06;108.31
2011-07;104.13
2011-08;101.89
2011-09;101.63
2011-10;100.52
2011-11;107.82
2011-12;98.37
2012-01;100.28
2012-02;102.27
2012-03;101.43
2012-04;102.92
2012-05;104.7
2012-06;103.43
2012-07;103.39
2012-08;103.61
2012-09;101.65
2012-10;103.47
2012-11;101.01
2012-12;101.26
2013-01;101.95
2013-02;100.89
2013-03;103.51
2013-04;103.72
2013-05;104.49
2013-06;97.07
2013-07;98.01
2013-08;101.15
2013-09;100.73
2013-10;99.95
2013-11;101.52
2013-12;102.66
2014-01;101.84
2014-02;100.74
2014-03;101.56
2014-04;100.56
2014-05;102.98
2014-06;104.8
2014-07;100.63
2014-08;99.08
2014-09;99.78
2014-10;97.96
2014-11;99.64
2014-12;101.68
2015-01;101.59
2015-02;101.04
2015-03;101.15
2015-04;100.34
2015-05;99.16
2015-06;100.5
2015-07;102.34
2015-08;97.16
2015-09;100.37
2015-10;100.65
2015-11;98.88
2015-12;96.82
2016-01;95.21
2016-02;98.36
2016-03;96.41
2016-04;95.93
2016-05;93.34
2016-06;93.08
2016-07;95.29
2016-08;98.0
2016-09;97.94
2016-10;97.78
2016-11;96.29
2016-12;93.3
2017-01;97.33
2017-02;94.54
2017-03;93.57
2017-04;93.76
2017-05;96.28
2017-06;96.43
2017-07;96.71
2017-08;95.3
2017-09;94.46
2017-10;94.8
2017-11;95.01
2017-12;94.98
2018-01;94.43
2018-02;95.6
2018-03;99.48
2018-04;97.28
2018-05;97.71
2018-06;97.12
2018-07;94.78
2018-08;97.24
2018-09;95.88
2018-10;97.15
2018-11;98.04
2018-12;98.0
2019-01;98.56
2019-02;97.36
2019-03;97.11
2019-04;98.23
2019-05;100.35
2019-06;97.04
2019-07;95.91
2019-08;96.94
2019-09;97.37
2019-10;93.6
2019-11;95.98
2019-12;96.81
2020-01;96.47
2020-02;96.71
2020-03;98.3
2020-04;92.97
2020-05;95.37
2020-06;97.32
2020-07;96.83
2020-08;92.1
2020-09;95.99
2020-10;95.87
2020-11;96.56
2020-12;96.06
2021-01;95.65
2021-02;95.1
2021-03;93.94
2021-04;94.61
2021-05;94.58
2021-06;94.06
2021-07;95.38
2021-08;94.24
2021-09;94.58
2021-10;95.13
2021-11;94.85
2021-12;92.56
2022-01;94.86
2022-02;95.59
